ID,Cluster1,Cluster2,admix_assignment
COPE_0469.fp2.repr,1e-5,0.99999,Cluster2
COPE_0470.fp2.repr,0.007847,0.992153,Cluster2
COPE_0471.fp2.repr,1e-5,0.99999,Cluster2
COPE_0472.fp2.repr,1e-5,0.99999,Cluster2
COPE_0473.fp2.repr,1e-5,0.99999,Cluster2
COPE_0474.fp2.repr,1e-5,0.99999,Cluster2
COPE_0475.fp2.repr,0.032609,0.967391,Cluster2
COPE_0476.fp2.repr,1e-5,0.99999,Cluster2
COPE_0477.fp2.repr,1e-5,0.99999,Cluster2
COPE_0478.fp2.repr,0.743455,0.256545,Cluster1
COPE_0479.fp2.repr,0.99999,1e-5,Cluster1
COPE_0480.fp2.repr,0.019918,0.980082,Cluster2
COPE_0481.fp2.repr,1e-5,0.99999,Cluster2
COPE_0482.fp2.repr,0.003359,0.996641,Cluster2
COPE_0483.fp2.repr,1e-5,0.99999,Cluster2
COPE_0484.fp2.repr,1e-5,0.99999,Cluster2
COPE_0485.fp2.repr,0.99999,1e-5,Cluster1
COPE_0486.fp2.repr,0.99999,1e-5,Cluster1
COPE_0487.fp2.repr,1e-5,0.99999,Cluster2
COPE_0488.fp2.repr,0.99999,1e-5,Cluster1
COPE_0489.fp2.repr,0.496473,0.503527,Cluster2
COPE_0490.fp2.repr,1e-5,0.99999,Cluster2
COPE_0491.fp2.repr,0.99999,1e-5,Cluster1
COPE_0492.fp2.repr,0.99999,1e-5,Cluster1
COPE_0493.fp2.repr,0.99999,1e-5,Cluster1
COPE_0494.fp2.repr,1e-5,0.99999,Cluster2
COPE_0495.fp2.repr,1e-5,0.99999,Cluster2
COPE_0496.fp2.repr,0.017034,0.982966,Cluster2
COPE_0497.fp2.repr,1e-5,0.99999,Cluster2
COPE_0498.fp2.repr,0.98922,0.01078,Cluster1
COPE_0499.fp2.repr,0.99999,1e-5,Cluster1
COPE_0500.fp2.repr,0.03032,0.96968,Cluster2
COPE_0501.fp2.repr,0.99999,1e-5,Cluster1
COPE_0502.fp2.repr,0.167297,0.832703,Cluster2
COPE_0503.fp2.repr,0.012658,0.987342,Cluster2
COPE_0504.fp2.repr,0.006642,0.993358,Cluster2
COPE_0505.fp2.repr,0.99999,1e-5,Cluster1
COPE_0506.fp2.repr,0.99999,1e-5,Cluster1
COPE_0507.fp2.repr,1e-5,0.99999,Cluster2
COPE_0508.fp2.repr,1e-5,0.99999,Cluster2
COPE_0509.fp2.repr,1e-5,0.99999,Cluster2
COPE_0510.fp2.repr,0.005088,0.994912,Cluster2
COPE_0511.fp2.repr,0.906484,0.093516,Cluster1
COPE_0512.fp2.repr,0.009552,0.990448,Cluster2
COPE_0514.fp2.repr,0.99999,1e-5,Cluster1
COPE_0515.fp2.repr,0.049286,0.950714,Cluster2
COPE_0517.fp2.repr,0.01142,0.98858,Cluster2
COPE_0518.fp2.repr,0.992532,0.007468,Cluster1
COPE_0519.fp2.repr,0.99999,1e-5,Cluster1
COPE_0520.fp2.repr,1e-5,0.99999,Cluster2
COPE_0521.fp2.repr,1e-5,0.99999,Cluster2
COPE_0522.fp2.repr,1e-5,0.99999,Cluster2
COPE_0523.fp2.repr,0.915223,0.084777,Cluster1
COPE_0524.fp2.repr,1e-5,0.99999,Cluster2
COPE_0525.fp2.repr,1e-5,0.99999,Cluster2
COPE_0526.fp2.repr,0.887079,0.112921,Cluster1
COPE_0527.fp2.repr,1e-5,0.99999,Cluster2
COPE_0528.fp2.repr,1e-5,0.99999,Cluster2
COPE_0529.fp2.repr,1e-5,0.99999,Cluster2
COPE_0530.fp2.repr,1e-5,0.99999,Cluster2
COPE_0531.fp2.repr,1e-5,0.99999,Cluster2
COPE_0532.fp2.repr,1e-5,0.99999,Cluster2
COPE_0534.fp2.repr,1e-5,0.99999,Cluster2
COPE_0535.fp2.repr,0.013239,0.986761,Cluster2
COPE_0536.fp2.repr,0.005939,0.994061,Cluster2
COPE_0537.fp2.repr,0.991739,0.008261,Cluster1
COPE_0538.fp2.repr,1e-5,0.99999,Cluster2
COPE_0539.fp2.repr,0.008971,0.991029,Cluster2
COPE_0540.fp2.repr,1e-5,0.99999,Cluster2
COPE_0541.fp2.repr,0.004709,0.995291,Cluster2
COPE_0542.fp2.repr,0.00396,0.99604,Cluster2
COPE_0543.fp2.repr,1e-5,0.99999,Cluster2
COPE_0544.fp2.repr,1e-5,0.99999,Cluster2
COPE_0545.fp2.repr,1e-5,0.99999,Cluster2
COPE_0546.fp2.repr,1e-5,0.99999,Cluster2
COPE_0547.fp2.repr,1e-5,0.99999,Cluster2
COPE_0548.fp2.repr,0.99999,1e-5,Cluster1
COPE_0549.fp2.repr,0.99999,1e-5,Cluster1
COPE_0550.fp2.repr,0.994681,0.005319,Cluster1
COPE_0551.fp2.repr,0.114989,0.885011,Cluster2
COPE_0552.fp2.repr,0.021246,0.978754,Cluster2
COPE_0553.fp2.repr,0.99999,1e-5,Cluster1
COPE_0554.fp2.repr,0.99999,1e-5,Cluster1
COPE_0555.fp2.repr,1e-5,0.99999,Cluster2
COPE_0556.fp2.repr,0.99999,1e-5,Cluster1
COPE_0557.fp2.repr,0.967676,0.032324,Cluster1
COPE_0558.fp2.repr,1e-5,0.99999,Cluster2
COPE_0559.fp2.repr,0.99999,1e-5,Cluster1
COPE_0560.fp2.repr,0.009408,0.990592,Cluster2
COPE_0561.fp2.repr,1e-5,0.99999,Cluster2
COPE_0562.fp2.repr,0.99999,1e-5,Cluster1
COPE_0563.fp2.repr,0.251653,0.748347,Cluster2
COPE_0565.fp2.repr,1e-5,0.99999,Cluster2
COPE_0566.fp2.repr,0.99999,1e-5,Cluster1
COPE_0567.fp2.repr,1e-5,0.99999,Cluster2
COPE_0568.fp2.repr,0.026557,0.973443,Cluster2
COPE_0569.fp2.repr,0.99999,1e-5,Cluster1
COPE_0570.fp2.repr,0.024772,0.975228,Cluster2
COPE_0571.fp2.repr,1e-5,0.99999,Cluster2
COPE_0572.fp2.repr,1e-5,0.99999,Cluster2
COPE_0573.fp2.repr,0.009744,0.990256,Cluster2
COPE_0575.fp2.repr,1e-5,0.99999,Cluster2
COPE_0576.fp2.repr,1e-5,0.99999,Cluster2
COPE_0577.fp2.repr,1e-5,0.99999,Cluster2
COPE_0578.fp2.repr,1e-5,0.99999,Cluster2
COPE_0579.fp2.repr,1e-5,0.99999,Cluster2
COPE_0580.fp2.repr,1e-5,0.99999,Cluster2
COPE_0582.fp2.repr,0.99999,1e-5,Cluster1
COPE_0583.fp2.repr,1e-5,0.99999,Cluster2
COPE_0584.fp2.repr,1e-5,0.99999,Cluster2
COPE_0585.fp2.repr,1e-5,0.99999,Cluster2
COPE_0586.fp2.repr,0.968025,0.031975,Cluster1
COPE_0587.fp2.repr,0.99191,0.00809,Cluster1
COPE_0588.fp2.repr,0.004539,0.995461,Cluster2
COPE_0589.fp2.repr,1e-5,0.99999,Cluster2
COPE_0591.fp2.repr,0.885832,0.114168,Cluster1
COPE_0592.fp2.repr,1e-5,0.99999,Cluster2
COPE_0593.fp2.repr,0.99999,1e-5,Cluster1
COPE_0594.fp2.repr,0.99999,1e-5,Cluster1
COPE_0595.fp2.repr,1e-5,0.99999,Cluster2
COPE_0596.fp2.repr,1e-5,0.99999,Cluster2
COPE_0597.fp2.repr,1e-5,0.99999,Cluster2
COPE_0598.fp2.repr,0.48703,0.51297,Cluster2
COPE_0599.fp2.repr,1e-5,0.99999,Cluster2
COPE_0600.fp2.repr,0.013554,0.986446,Cluster2
COPE_0601.fp2.repr,1e-5,0.99999,Cluster2
COPE_0602.fp2.repr,1e-5,0.99999,Cluster2
COPE_0603.fp2.repr,1e-5,0.99999,Cluster2
COPE_0604.fp2.repr,1e-5,0.99999,Cluster2
COPE_0605.fp2.repr,0.023397,0.976603,Cluster2
COPE_0606.fp2.repr,0.974258,0.025742,Cluster1
COPE_0607.fp2.repr,1e-5,0.99999,Cluster2
COPE_0608.fp2.repr,1e-5,0.99999,Cluster2
COPE_0610.fp2.repr,1e-5,0.99999,Cluster2
COPE_0611.fp2.repr,1e-5,0.99999,Cluster2
COPE_0612.fp2.repr,1e-5,0.99999,Cluster2
COPE_0613.fp2.repr,1e-5,0.99999,Cluster2
COPE_0614.fp2.repr,0.99999,1e-5,Cluster1
COPE_0615.fp2.repr,0.979796,0.020204,Cluster1
COPE_0616.fp2.repr,0.99999,1e-5,Cluster1
COPE_0617.fp2.repr,0.893908,0.106092,Cluster1
COPE_0618.fp2.repr,0.961669,0.038331,Cluster1
COPE_0619.fp2.repr,1e-5,0.99999,Cluster2
COPE_0620.fp2.repr,0.999068,9.32e-4,Cluster1
COPE_0621.fp2.repr,0.99999,1e-5,Cluster1
COPE_0622.fp2.repr,0.99999,1e-5,Cluster1
COPE_0623.fp2.repr,0.99999,1e-5,Cluster1
COPE_0624.fp2.repr,0.99999,1e-5,Cluster1
COPE_0625.fp2.repr,0.99999,1e-5,Cluster1
COPE_0626.fp2.repr,0.99999,1e-5,Cluster1
COPE_0627.fp2.repr,0.007232,0.992768,Cluster2
COPE_0628.fp2.repr,1e-5,0.99999,Cluster2
COPE_0629.fp2.repr,1e-5,0.99999,Cluster2
COPE_0630.fp2.repr,0.006302,0.993698,Cluster2
COPE_0631.fp2.repr,1e-5,0.99999,Cluster2
COPE_0632.fp2.repr,1e-5,0.99999,Cluster2
COPE_0633.fp2.repr,1e-5,0.99999,Cluster2
COPE_0634.fp2.repr,0.003596,0.996404,Cluster2
COPE_0635.fp2.repr,1e-5,0.99999,Cluster2
COPE_0636.fp2.repr,1e-5,0.99999,Cluster2
COPE_0637.fp2.repr,0.004975,0.995025,Cluster2
COPE_0638.fp2.repr,0.990726,0.009274,Cluster1
COPE_0639.fp2.repr,6.15e-4,0.999385,Cluster2
COPE_0640.fp2.repr,0.015849,0.984151,Cluster2
COPE_0641.fp2.repr,1e-5,0.99999,Cluster2
COPE_0642.fp2.repr,0.996787,0.003213,Cluster1
COPE_0643.fp2.repr,0.99999,1e-5,Cluster1
COPE_0644.fp2.repr,0.976823,0.023177,Cluster1
COPE_0645.fp2.repr,1e-5,0.99999,Cluster2
COPE_0646.fp2.repr,1e-5,0.99999,Cluster2
COPE_0647.fp2.repr,1e-5,0.99999,Cluster2
COPE_0648.fp2.repr,0.010391,0.989609,Cluster2
COPE_0649.fp2.repr,0.99999,1e-5,Cluster1
COPE_0650.fp2.repr,0.004314,0.995686,Cluster2
COPE_0651.fp2.repr,1e-5,0.99999,Cluster2
COPE_0652.fp2.repr,1e-5,0.99999,Cluster2
COPE_0653.fp2.repr,6.85e-4,0.999315,Cluster2
COPE_0654.fp2.repr,0.99999,1e-5,Cluster1
COPE_0655.fp2.repr,0.99999,1e-5,Cluster1
COPE_0656.fp2.repr,0.004946,0.995054,Cluster2
COPE_0657.fp2.repr,0.004387,0.995613,Cluster2
COPE_0658.fp2.repr,0.99999,1e-5,Cluster1
COPE_0659.fp2.repr,0.022624,0.977376,Cluster2
COPE_0660.fp2.repr,0.021567,0.978433,Cluster2
COPE_0661.fp2.repr,0.004067,0.995933,Cluster2
COPE_0662.fp2.repr,0.99999,1e-5,Cluster1
COPE_0663.fp2.repr,0.008115,0.991885,Cluster2
COPE_0664.fp2.repr,0.009178,0.990822,Cluster2
COPE_0665.fp2.repr,1e-5,0.99999,Cluster2
COPE_0666.fp2.repr,0.021903,0.978097,Cluster2
COPE_0667.fp2.repr,0.99999,1e-5,Cluster1
COPE_0668.fp2.repr,0.99999,1e-5,Cluster1
COPE_0669.fp2.repr,0.970355,0.029645,Cluster1
COPE_0670.fp2.repr,0.00521,0.99479,Cluster2
COPE_0671.fp2.repr,1e-5,0.99999,Cluster2
COPE_0672.fp2.repr,1e-5,0.99999,Cluster2
COPE_0673.fp2.repr,0.014187,0.985813,Cluster2
COPE_0674.fp2.repr,0.008739,0.991261,Cluster2
COPE_0675.fp2.repr,1e-5,0.99999,Cluster2
COPE_0676.fp2.repr,0.436217,0.563783,Cluster2
COPE_0677.fp2.repr,0.009163,0.990837,Cluster2
COPE_0678.fp2.repr,1e-5,0.99999,Cluster2
COPE_0679.fp2.repr,1e-5,0.99999,Cluster2
COPE_0680.fp2.repr,1e-5,0.99999,Cluster2
COPE_0681.fp2.repr,1e-5,0.99999,Cluster2
COPE_0682.fp2.repr,1e-5,0.99999,Cluster2
COPE_0683.fp2.repr,1e-5,0.99999,Cluster2
COPE_0684.fp2.repr,1e-5,0.99999,Cluster2
COPE_0685.fp2.repr,1e-5,0.99999,Cluster2
COPE_0686.fp2.repr,1e-5,0.99999,Cluster2
COPE_0687.fp2.repr,0.085098,0.914902,Cluster2
COPE_0688.fp2.repr,1e-5,0.99999,Cluster2
COPE_0690.fp2.repr,0.981267,0.018733,Cluster1
COPE_0692.fp2.repr,0.99999,1e-5,Cluster1
COPE_0693.fp2.repr,0.001789,0.998211,Cluster2
COPE_0694.fp2.repr,1e-5,0.99999,Cluster2
COPE_0695.fp2.repr,1e-5,0.99999,Cluster2
COPE_0696.fp2.repr,1e-5,0.99999,Cluster2
COPE_0697.fp2.repr,0.00677,0.99323,Cluster2
COPE_0698.fp2.repr,1e-5,0.99999,Cluster2
COPE_0699.fp2.repr,1e-5,0.99999,Cluster2
COPE_0700.fp2.repr,1e-5,0.99999,Cluster2
COPE_0701.fp2.repr,1e-5,0.99999,Cluster2
COPE_0702.fp2.repr,1e-5,0.99999,Cluster2
COPE_0703.fp2.repr,1e-5,0.99999,Cluster2
COPE_0704.fp2.repr,0.99999,1e-5,Cluster1
COPE_0705.fp2.repr,1e-5,0.99999,Cluster2
COPE_0706.fp2.repr,1e-5,0.99999,Cluster2
COPE_0707.fp2.repr,0.970481,0.029519,Cluster1
COPE_0708.fp2.repr,1e-5,0.99999,Cluster2
COPE_0709.fp2.repr,1e-5,0.99999,Cluster2
COPE_0710.fp2.repr,1e-5,0.99999,Cluster2
COPE_0711.fp2.repr,0.99999,1e-5,Cluster1
COPE_0712.fp2.repr,1e-5,0.99999,Cluster2
COPE_0713.fp2.repr,0.004913,0.995087,Cluster2
COPE_0715.fp2.repr,1e-5,0.99999,Cluster2
COPE_0716.fp2.repr,1e-5,0.99999,Cluster2
COPE_0717.fp2.repr,0.005278,0.994722,Cluster2
COPE_0718.fp2.repr,0.99999,1e-5,Cluster1
COPE_0719.fp2.repr,0.99999,1e-5,Cluster1
COPE_0720.fp2.repr,0.99999,1e-5,Cluster1
COPE_0721.fp2.repr,0.99999,1e-5,Cluster1
COPE_0722.fp2.repr,1e-5,0.99999,Cluster2
COPE_0723.fp2.repr,0.99999,1e-5,Cluster1
COPE_0724.fp2.repr,0.985735,0.014265,Cluster1
COPE_0725.fp2.repr,0.019236,0.980764,Cluster2
COPE_0726.fp2.repr,1e-5,0.99999,Cluster2
COPE_0727.fp2.repr,0.017416,0.982584,Cluster2
COPE_0728.fp2.repr,0.015968,0.984032,Cluster2
COPE_0729.fp2.repr,1e-5,0.99999,Cluster2
COPE_0730.fp2.repr,1e-5,0.99999,Cluster2
COPE_0731.fp2.repr,1e-5,0.99999,Cluster2
COPE_0732.fp2.repr,1e-5,0.99999,Cluster2
COPE_0734.fp2.repr,1e-5,0.99999,Cluster2
COPE_0735.fp2.repr,1e-5,0.99999,Cluster2
COPE_0736.fp2.repr,0.012525,0.987475,Cluster2
COPE_0737.fp2.repr,1e-5,0.99999,Cluster2
COPE_0738.fp2.repr,1e-5,0.99999,Cluster2
COPE_0739.fp2.repr,1e-5,0.99999,Cluster2
COPE_0740.fp2.repr,0.032806,0.967194,Cluster2
COPE_0741.fp2.repr,0.007218,0.992782,Cluster2
COPE_0742.fp2.repr,0.004035,0.995965,Cluster2
COPE_0743.fp2.repr,1e-5,0.99999,Cluster2
COPE_0744.fp2.repr,1e-5,0.99999,Cluster2
COPE_0745.fp2.repr,0.223386,0.776614,Cluster2
COPE_0746.fp2.repr,1e-5,0.99999,Cluster2
COPE_0747.fp2.repr,0.004455,0.995545,Cluster2
COPE_0748.fp2.repr,1e-5,0.99999,Cluster2
COPE_0749.fp2.repr,1e-5,0.99999,Cluster2
COPE_0750.fp2.repr,1e-5,0.99999,Cluster2
COPE_0751.fp2.repr,0.004095,0.995905,Cluster2
COPE_0752.fp2.repr,1e-5,0.99999,Cluster2
COPE_0753.fp2.repr,1e-5,0.99999,Cluster2
COPE_0754.fp2.repr,1e-5,0.99999,Cluster2
COPE_0755.fp2.repr,0.004648,0.995352,Cluster2
COPE_0756.fp2.repr,1e-5,0.99999,Cluster2
COPE_0757.fp2.repr,1e-5,0.99999,Cluster2
COPE_0758.fp2.repr,1e-5,0.99999,Cluster2
COPE_0759.fp2.repr,1e-5,0.99999,Cluster2
COPE_0760.fp2.repr,1e-5,0.99999,Cluster2
COPE_0761.fp2.repr,1e-5,0.99999,Cluster2
COPE_0762.fp2.repr,1e-5,0.99999,Cluster2
COPE_0763.fp2.repr,0.99999,1e-5,Cluster1
COPE_0764.fp2.repr,1e-5,0.99999,Cluster2
COPE_0765.fp2.repr,1e-5,0.99999,Cluster2
COPE_0766.fp2.repr,1e-5,0.99999,Cluster2
COPE_0767.fp2.repr,1e-5,0.99999,Cluster2
COPE_0768.fp2.repr,1e-5,0.99999,Cluster2
COPE_0769.fp2.repr,0.032672,0.967328,Cluster2
COPE_0770.fp2.repr,1e-5,0.99999,Cluster2
COPE_0771.fp2.repr,1e-5,0.99999,Cluster2
COPE_0772.fp2.repr,0.026596,0.973404,Cluster2
COPE_0773.fp2.repr,1e-5,0.99999,Cluster2
COPE_0774.fp2.repr,1e-5,0.99999,Cluster2
COPE_0775.fp2.repr,1e-5,0.99999,Cluster2
COPE_0776.fp2.repr,0.99999,1e-5,Cluster1
COPE_0777.fp2.repr,0.99999,1e-5,Cluster1
COPE_0778.fp2.repr,0.003975,0.996025,Cluster2
COPE_0779.fp2.repr,1e-5,0.99999,Cluster2
COPE_0780.fp2.repr,0.99999,1e-5,Cluster1
COPE_0781.fp2.repr,0.006593,0.993407,Cluster2
COPE_0782.fp2.repr,1e-5,0.99999,Cluster2
COPE_0783.fp2.repr,1e-5,0.99999,Cluster2
COPE_0784.fp2.repr,1e-5,0.99999,Cluster2
COPE_0785.fp2.repr,0.004444,0.995556,Cluster2
COPE_0786.fp2.repr,1e-5,0.99999,Cluster2
COPE_0787.fp2.repr,1e-5,0.99999,Cluster2
COPE_0788.fp2.repr,1e-5,0.99999,Cluster2
COPE_0789.fp2.repr,1e-5,0.99999,Cluster2
COPE_0790.fp2.repr,1e-5,0.99999,Cluster2
COPE_0791.fp2.repr,1e-5,0.99999,Cluster2
COPE_0792.fp2.repr,1e-5,0.99999,Cluster2
COPE_0793.fp2.repr,1e-5,0.99999,Cluster2
COPE_0794.fp2.repr,1e-5,0.99999,Cluster2
COPE_0795.fp2.repr,1e-5,0.99999,Cluster2
COPE_0796.fp2.repr,0.078972,0.921028,Cluster2
COPE_0797.fp2.repr,1e-5,0.99999,Cluster2
COPE_0798.fp2.repr,1e-5,0.99999,Cluster2
COPE_0799.fp2.repr,1e-5,0.99999,Cluster2
COPE_0800.fp2.repr,0.052162,0.947838,Cluster2
COPE_0801.fp2.repr,0.004633,0.995367,Cluster2
COPE_0802.fp2.repr,1e-5,0.99999,Cluster2
COPE_0803.fp2.repr,1e-5,0.99999,Cluster2
COPE_0804.fp2.repr,0.013263,0.986737,Cluster2
COPE_0805.fp2.repr,1e-5,0.99999,Cluster2
COPE_0806.fp2.repr,0.043699,0.956301,Cluster2
COPE_0807.fp2.repr,1e-5,0.99999,Cluster2
COPE_0808.fp2.repr,1e-5,0.99999,Cluster2
COPE_0809.fp2.repr,1e-5,0.99999,Cluster2
COPE_0810.fp2.repr,1e-5,0.99999,Cluster2
COPE_0811.fp2.repr,1e-5,0.99999,Cluster2
COPE_0812.fp2.repr,1e-5,0.99999,Cluster2
COPE_0813.fp2.repr,1e-5,0.99999,Cluster2
COPE_0814.fp2.repr,1e-5,0.99999,Cluster2
COPE_0815.fp2.repr,0.00973,0.99027,Cluster2
COPE_0816.fp2.repr,1e-5,0.99999,Cluster2
COPE_0817.fp2.repr,1e-5,0.99999,Cluster2
COPE_0818.fp2.repr,1e-5,0.99999,Cluster2
COPE_0819.fp2.repr,1e-5,0.99999,Cluster2
COPE_0820.fp2.repr,1e-5,0.99999,Cluster2
COPE_0821.fp2.repr,0.432159,0.567841,Cluster2
COPE_0822.fp2.repr,1e-5,0.99999,Cluster2
COPE_0823.fp2.repr,1e-5,0.99999,Cluster2
COPE_0824.fp2.repr,0.177845,0.822155,Cluster2
COPE_0825.fp2.repr,0.020634,0.979366,Cluster2
COPE_0826.fp2.repr,1e-5,0.99999,Cluster2
COPE_0827.fp2.repr,1e-5,0.99999,Cluster2
COPE_0828.fp2.repr,0.165735,0.834265,Cluster2
COPE_0829.fp2.repr,1e-5,0.99999,Cluster2
COPE_0830.fp2.repr,1e-5,0.99999,Cluster2
COPE_0831.fp2.repr,1e-5,0.99999,Cluster2
COPE_0832.fp2.repr,1e-5,0.99999,Cluster2
COPE_0833.fp2.repr,1e-5,0.99999,Cluster2
COPE_0834.fp2.repr,1e-5,0.99999,Cluster2
COPE_0835.fp2.repr,1e-5,0.99999,Cluster2
COPE_0836.fp2.repr,0.99999,1e-5,Cluster1
COPE_0837.fp2.repr,1e-5,0.99999,Cluster2
COPE_0838.fp2.repr,1e-5,0.99999,Cluster2
COPE_0839.fp2.repr,1e-5,0.99999,Cluster2
COPE_0840.fp2.repr,0.004491,0.995509,Cluster2
COPE_0841.fp2.repr,1e-5,0.99999,Cluster2
COPE_0842.fp2.repr,0.99999,1e-5,Cluster1
COPE_0843.fp2.repr,0.99999,1e-5,Cluster1
COPE_0845.fp2.repr,1e-5,0.99999,Cluster2
COPE_0846.fp2.repr,1e-5,0.99999,Cluster2
COPE_0847.fp2.repr,0.011123,0.988877,Cluster2
COPE_0848.fp2.repr,0.004028,0.995972,Cluster2
COPE_0849.fp2.repr,1e-5,0.99999,Cluster2
COPE_0850.fp2.repr,0.99999,1e-5,Cluster1
COPE_0851.fp2.repr,1e-5,0.99999,Cluster2
COPE_0852.fp2.repr,1e-5,0.99999,Cluster2
COPE_0853.fp2.repr,1e-5,0.99999,Cluster2
COPE_0854.fp2.repr,0.009612,0.990388,Cluster2
COPE_0855.fp2.repr,1e-5,0.99999,Cluster2
COPE_0856.fp2.repr,0.984787,0.015213,Cluster1
COPE_0857.fp2.repr,1e-5,0.99999,Cluster2
COPE_0858.fp2.repr,1e-5,0.99999,Cluster2
COPE_0859.fp2.repr,0.99999,1e-5,Cluster1
COPE_0860.fp2.repr,0.99999,1e-5,Cluster1
COPE_0861.fp2.repr,0.005169,0.994831,Cluster2
COPE_0862.fp2.repr,1e-5,0.99999,Cluster2
COPE_0863.fp2.repr,1e-5,0.99999,Cluster2
COPE_0864.fp2.repr,0.98272,0.01728,Cluster1
COPE_0865.fp2.repr,1e-5,0.99999,Cluster2
COPE_0866.fp2.repr,1e-5,0.99999,Cluster2
COPE_0867.fp2.repr,1e-5,0.99999,Cluster2
COPE_0868.fp2.repr,1e-5,0.99999,Cluster2
COPE_0869.fp2.repr,0.99999,1e-5,Cluster1
